Game,Japan Sales,GameID,Pos,PAL Sales,Other Sales,NA Sales,Metacritic Score,Total Sales,User Score
1080° Avalanche,,1080° Avalanche | GCN,566,,,,,,
Backyard Sports Baseball 2007,,Backyard Sports Baseball 2007 | GCN,571,,,,,,
Bad Boys: Miami Takedown,,Bad Boys: Miami Takedown | GCN,482,0.01,,0.03,35.0,0.05,2.0
Baldur's Gate: Dark Alliance,,Baldur's Gate: Dark Alliance | GCN,293,0.03,,0.11,,0.14,
Barbarian,,Barbarian | GCN,572,,,,,,
Barnyard,,Barnyard | GCN,326,0.02,,0.09,66.0,0.12,
Baten Kaitos Origins,0.02,Baten Kaitos Origins | GCN,349,0.02,,0.06,75.0,0.1,8.6
Baten Kaitos: Eternal Wings and the Lost Ocean,,Baten Kaitos: Eternal Wings and the Lost Ocean | GCN,174,0.05,0.01,0.21,80.0,0.27,8.5
Batman Begins,,Batman Begins | GCN,285,0.03,,0.11,66.0,0.15,7.3
Batman: Dark Tomorrow,,Batman: Dark Tomorrow | GCN,389,0.02,,0.06,,0.08,
Batman: Rise of Sin Tzu,,Batman: Rise of Sin Tzu | GCN,437,0.01,,0.05,63.0,0.06,
Batman: Vengeance,,Batman: Vengeance | GCN,180,0.05,0.01,0.2,,0.26,
Battalion Wars,0.07,Battalion Wars | GCN,123,0.07,0.01,0.25,76.0,0.4,8.5
Battle Stadium D.O.N,0.09,Battle Stadium D.O.N | GCN,365,,,,,0.09,
Beach Spikers: Virtua Beach Volleyball,,Beach Spikers: Virtua Beach Volleyball | GCN,353,0.02,,0.08,,0.1,
BeyBlade VForce: Super Tournament Battle,,BeyBlade VForce: Super Tournament Battle | GCN,221,0.04,0.01,0.16,,0.21,
Beyond Good & Evil,,Beyond Good & Evil | GCN,408,0.01,,0.06,87.0,0.07,8.4
Big Air Freestyle,,Big Air Freestyle | GCN,481,0.01,,0.04,,0.05,
Big Mutha Truckers,,Big Mutha Truckers | GCN,384,0.02,,0.06,,0.08,
Billy Hatcher and the Giant Egg,,Billy Hatcher and the Giant Egg | GCN,188,0.05,0.01,0.19,,0.25,
Bionicle,,Bionicle | GCN,218,0.04,0.01,0.16,47.0,0.21,4.2
Bionicle Heroes,,Bionicle Heroes | GCN,337,0.02,,0.08,51.0,0.11,5.2
Black & Bruised,,Black & Bruised | GCN,477,0.01,,0.04,,0.05,
Bleach GC: Tasogare Ni Mamieru Shinigami,0.08,Bleach GC: Tasogare Ni Mamieru Shinigami | GCN,370,,,,,0.09,
Blood Omen 2,,Blood Omen 2 | GCN,454,0.01,,0.04,,0.05,
BloodRayne,,BloodRayne | GCN,330,0.02,,0.09,,0.11,
Bloody Roar: Primal Fury,,Bloody Roar: Primal Fury | GCN,237,0.04,,0.14,,0.18,
BlowOut,,BlowOut | GCN,559,,,0.01,68.0,0.01,
BMX XXX,,BMX XXX | GCN,430,0.01,,0.05,,0.06,
Boboboubo Boubobo Dassutsu! Hajike Royale,,Boboboubo Boubobo Dassutsu! Hajike Royale | GCN,573,,,,,,
Bokujou Monogatari: Shiawase no Uta,,Bokujou Monogatari: Shiawase no Uta | GCN,574,,,,,,
Bomberman Generation,0.06,Bomberman Generation | GCN,185,0.04,0.01,0.15,,0.25,
Bomberman Jetters,,Bomberman Jetters | GCN,374,0.02,,0.06,70.0,0.08,7.9
Bomberman Land 2,,Bomberman Land 2 | GCN,575,,,,,,
Bratz: Forever Diamondz,,Bratz: Forever Diamondz | GCN,215,0.04,0.01,0.17,,0.21,
Bratz: Rock Angelz,,Bratz: Rock Angelz | GCN,223,0.04,0.01,0.16,,0.2,
Buffy the Vampire Slayer: Chaos Bleeds,,Buffy the Vampire Slayer: Chaos Bleeds | GCN,515,0.01,,0.02,,0.03,
Bulletproof Monk,,Bulletproof Monk | GCN,576,,,,,,
Burnout,,Burnout | GCN,158,0.06,0.01,0.23,,0.3,
Burnout 2: Point of Impact,,Burnout 2: Point of Impact | GCN,267,0.03,,0.12,,0.15,
Bust-A-Move 3000,,Bust-A-Move 3000 | GCN,556,,,0.01,,0.01,
Cabela's Big Game Hunter 2005 Adventures,,Cabela's Big Game Hunter 2005 Adventures | GCN,427,0.01,,0.05,,0.07,8.8
Cabela's Dangerous Hunts 2,,Cabela's Dangerous Hunts 2 | GCN,497,0.01,,0.03,,0.03,
Cabela's Dangerous Hunts: Ultimate Challenge,,Cabela's Dangerous Hunts: Ultimate Challenge | GCN,578,,,,,,
Cabela's Outdoor Adventures,,Cabela's Outdoor Adventures | GCN,500,0.01,,0.03,,0.03,8.8
Cabela's Outdoor Adventures (2006),,Cabela's Outdoor Adventures (2006) | GCN,579,,,,,,
Call of Duty 2: Big Red One,,Call of Duty 2: Big Red One | GCN,150,0.07,0.01,0.25,76.0,0.33,7.9
Call of Duty: Finest Hour,,Call of Duty: Finest Hour | GCN,128,0.08,0.01,0.31,74.0,0.4,8.6
Capcom vs. SNK 2 EO,,Capcom vs. SNK 2 EO | GCN,332,0.02,,0.09,,0.11,
Captain Tsubasa: Ougon Sedai no Chousen,,Captain Tsubasa: Ougon Sedai no Chousen | GCN,580,,,,,,
Carmen Sandiego: The Secret of the Stolen Drums,,Carmen Sandiego: The Secret of the Stolen Drums | GCN,526,,,0.02,57.0,0.02,
Cars,,Cars | GCN,53,0.19,0.03,0.72,71.0,0.93,6.7
Casper: Spirit Dimensions,,Casper: Spirit Dimensions | GCN,529,,,0.02,,0.02,
Catwoman,,Catwoman | GCN,418,0.01,,0.05,47.0,0.07,6.1
Cel Damage,,Cel Damage | GCN,432,0.01,,0.05,,0.06,
Chaos Field,,Chaos Field | GCN,563,,,0.01,63.0,0.01,5.0
Charinko Hero,,Charinko Hero | GCN,581,,,,,,
Charlie and the Chocolate Factory,,Charlie and the Chocolate Factory | GCN,243,0.04,,0.14,39.0,0.18,3.2
Charlie's Angels,,Charlie's Angels | GCN,532,,,0.01,,0.02,
Chessmaster,,Chessmaster | GCN,582,,,,,,
Chibi-Robo! Plug into Adventure!,0.09,Chibi-Robo! Plug into Adventure! | GCN,130,0.06,0.01,0.23,,0.39,
City Racer,,City Racer | GCN,562,,,0.01,,0.01,
Cocoto Fishing Master,,Cocoto Fishing Master | GCN,583,,,,,,
Cocoto Funfair,,Cocoto Funfair | GCN,584,,,,,,
Cocoto Kart Racer,,Cocoto Kart Racer | GCN,585,,,,,,
Cocoto Platform Jumper,,Cocoto Platform Jumper | GCN,586,,,,,,
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E. | GCN,468,0.01,,0.04,58.0,0.05,7.6
Conan,,Conan | GCN,587,,,,,,
Conflict: Desert Storm,,Conflict: Desert Storm | GCN,404,0.02,,0.06,,0.08,
Conflict: Desert Storm II - Back to Bagdhad,,Conflict: Desert Storm II - Back to Bagdhad | GCN,485,0.01,,0.03,,0.04,
Crash Bandicoot: The Wrath of Cortex,,Crash Bandicoot: The Wrath of Cortex | GCN,85,0.12,0.02,0.46,,0.59,
Crash Nitro Kart,,Crash Nitro Kart | GCN,181,0.05,0.01,0.2,66.0,0.26,7.8
Crash Tag Team Racing,,Crash Tag Team Racing | GCN,261,0.03,,0.12,66.0,0.16,6.9
Crazy Taxi,0.02,Crazy Taxi | GCN,100,0.09,0.01,0.36,,0.49,
Cubivore: Survival of the Fittest,0.15,Cubivore: Survival of the Fittest | GCN,257,,,0.01,,0.17,
Cubix Robots for Everyone: Showdown,,Cubix Robots for Everyone: Showdown | GCN,565,,,,,,
Curious George,,Curious George | GCN,281,0.03,,0.11,,0.15,
Custom Robo,,Custom Robo | GCN,138,0.07,0.01,0.29,65.0,0.37,8.2
Dakar 2: The World's Ultimate Rally,,Dakar 2: The World's Ultimate Rally | GCN,512,0.01,,0.02,,0.03,
Dance Dance Revolution: Mario Mix,,Dance Dance Revolution: Mario Mix | GCN,101,0.09,0.01,0.36,69.0,0.47,8.4
Dance Dance Revolution: Mario Mix (JP sales),0.05,Dance Dance Revolution: Mario Mix (JP sales) | GCN,449,,,,,0.06,
Dark Summit,,Dark Summit | GCN,467,0.01,,0.04,,0.05,
Darkened Skye,,Darkened Skye | GCN,552,,,0.01,,0.01,
Dave Mirra Freestyle BMX 2,,Dave Mirra Freestyle BMX 2 | GCN,172,0.06,0.01,0.21,,0.28,
David Douillet Judo,,David Douillet Judo | GCN,588,,,,,,
Dead Phoenix,,Dead Phoenix | GCN,589,,,,,,
Dead to Rights,,Dead to Rights | GCN,291,0.03,,0.11,,0.14,
Def Jam Vendetta,,Def Jam Vendetta | GCN,189,0.05,0.01,0.19,,0.25,
Def Jam: Fight for NY,,Def Jam: Fight for NY | GCN,203,0.05,0.01,0.17,,0.22,
Defender,,Defender | GCN,340,0.02,,0.08,,0.11,
Derby Tsuku 3: Derby Uma o Tsukurou!,,Derby Tsuku 3: Derby Uma o Tsukurou! | GCN,591,,,,,,
Die Hard: Vendetta,,Die Hard: Vendetta | GCN,327,0.02,,0.09,,0.12,
Digimon Rumble Arena 2,,Digimon Rumble Arena 2 | GCN,488,0.01,,0.03,71.0,0.04,7.8
Digimon World 4,,Digimon World 4 | GCN,368,0.02,,0.07,55.0,0.09,8.1
Dinotopia: The Sunstone Odyssey,,Dinotopia: The Sunstone Odyssey | GCN,541,,,0.01,,0.02,
Disney Sports Basketball,,Disney Sports Basketball | GCN,564,,,0.01,,0.01,
Disney Sports Football,,Disney Sports Football | GCN,534,,,0.01,,0.02,
Disney Sports Skateboarding,,Disney Sports Skateboarding | GCN,438,0.01,,0.05,,0.06,
Disney Sports Soccer,,Disney Sports Soccer | GCN,503,0.01,,0.03,,0.03,
Disney's Chicken Little,,Disney's Chicken Little | GCN,175,0.05,0.01,0.21,67.0,0.27,
Disney's Donald Duck: Goin' Quackers,,Disney's Donald Duck: Goin' Quackers | GCN,483,0.01,,0.03,,0.04,
Disney's Extreme Skate Adventure,,Disney's Extreme Skate Adventure | GCN,319,0.02,,0.09,,0.12,
Disney's Hide & Sneak,,Disney's Hide & Sneak | GCN,504,0.01,,0.03,,0.03,
Disney's Magical Mirror Starring Mickey Mouse,,Disney's Magical Mirror Starring Mickey Mouse | GCN,233,0.04,0.01,0.15,,0.19,
Disney's Meet the Robinsons,,Disney's Meet the Robinsons | GCN,484,0.01,,0.03,68.0,0.04,
Disney's Party,,Disney's Party | GCN,461,0.01,,0.04,,0.05,
Disney's PK: Out of the Shadows,,Disney's PK: Out of the Shadows | GCN,458,0.01,,0.04,,0.05,
Disney's Tarzan Untamed,,Disney's Tarzan Untamed | GCN,242,0.04,,0.14,,0.18,
Disney's The Haunted Mansion,,Disney's The Haunted Mansion | GCN,352,0.02,,0.08,,0.1,
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,,Disney's Winnie the Pooh's Rumbly Tumbly Adventure | GCN,417,0.01,,0.05,,0.07,
Dokapon DX: Wataru Sekai wa Oni Darake,,Dokapon DX: Wataru Sekai wa Oni Darake | GCN,592,,,,,,
Donkey Kong Jungle Beat,0.24,Donkey Kong Jungle Beat | GCN,33,0.22,0.04,0.84,80.0,1.34,8.2
Donkey Konga,0.46,Donkey Konga | GCN,42,0.16,0.03,0.5,76.0,1.15,8.1
Donkey Konga 1+2 Pack,,Donkey Konga 1+2 Pack | GCN,593,,,,,,
Donkey Konga 2,,Donkey Konga 2 | GCN,129,0.08,0.01,0.3,69.0,0.39,6.0
Donkey Konga 3: Tabe-houdai! Haru Mogitate 50 Kyoku,,Donkey Konga 3: Tabe-houdai! Haru Mogitate 50 Kyoku | GCN,594,,,,,,
Dora the Explorer: Journey to the Purple Planet,,Dora the Explorer: Journey to the Purple Planet | GCN,325,0.02,,0.09,,0.12,
Doraemon Minna de Yuubou!,,Doraemon Minna de Yuubou! | GCN,595,,,,,,
Doshin the Giant,0.14,Doshin the Giant | GCN,289,,,,,0.14,
Dr. Muto,,Dr. Muto | GCN,507,0.01,,0.02,,0.03,
Dragon Ball Z: Budokai,,Dragon Ball Z: Budokai | GCN,71,0.14,0.02,0.53,65.0,0.69,6.6
Dragon Ball Z: Budokai 2,,Dragon Ball Z: Budokai 2 | GCN,173,0.06,0.01,0.21,66.0,0.27,6.1
Dragon Ball Z: Sagas,,Dragon Ball Z: Sagas | GCN,222,0.04,0.01,0.16,48.0,0.21,6.0
Dragon Drive: D-Masters Shot,,Dragon Drive: D-Masters Shot | GCN,596,,,,,,
Dragon's Lair 3D: Return to the Lair,,Dragon's Lair 3D: Return to the Lair | GCN,491,0.01,,0.03,,0.04,
DreamMix TV: World Fighters,,DreamMix TV: World Fighters | GCN,597,,,,,,
Driven,,Driven | GCN,405,0.02,,0.06,,0.08,
Drome Racers,,Drome Racers | GCN,509,0.01,,0.02,,0.03,
Duel Masters Nettou! Battle Arena,,Duel Masters Nettou! Battle Arena | GCN,598,,,,,,
"Ed, Edd n Eddy: The Mis-Edventures",,"Ed, Edd n Eddy: The Mis-Edventures | GCN",190,0.05,0.01,0.19,55.0,0.25,8.1
Egg Mania: Eggstreme Madness,,Egg Mania: Eggstreme Madness | GCN,554,,,0.01,,0.01,
Eisei Meijin VI,,Eisei Meijin VI | GCN,599,,,,,,
Enter the Matrix,0.02,Enter the Matrix | GCN,103,0.09,0.01,0.34,,0.45,
ESPN International Winter Sports 2002,,ESPN International Winter Sports 2002 | GCN,466,0.01,,0.04,,0.05,
ESPN MLS ExtraTime 2002,,ESPN MLS ExtraTime 2002 | GCN,530,,,0.02,,0.02,
Eternal Darkness: Sanity's Requiem,,Eternal Darkness: Sanity's Requiem | GCN,111,0.09,0.01,0.34,,0.44,
Evolution Skateboarding,,Evolution Skateboarding | GCN,495,0.01,,0.03,,0.04,
Evolution Snowboarding,,Evolution Snowboarding | GCN,600,,,,,,
Evolution Worlds,,Evolution Worlds | GCN,392,0.02,,0.06,,0.08,
F1 2002,,F1 2002 | GCN,506,0.01,,0.02,,0.03,
F1 Career Challenge,,F1 Career Challenge | GCN,601,,,,,,
Family Stadium 2003,,Family Stadium 2003 | GCN,602,,,,,,
Fantastic 4,,Fantastic 4 | GCN,198,0.05,0.01,0.19,61.0,0.24,4.0
FIFA 06 Soccer,,FIFA 06 Soccer | GCN,297,0.03,,0.11,,0.14,
FIFA 07 Soccer,,FIFA 07 Soccer | GCN,238,0.04,,0.14,80.0,0.18,7.8
FIFA Soccer 2002,,FIFA Soccer 2002 | GCN,241,0.04,,0.14,,0.18,
FIFA Soccer 2003,,FIFA Soccer 2003 | GCN,381,0.02,,0.06,,0.08,
FIFA Soccer 2004,,FIFA Soccer 2004 | GCN,415,0.01,,0.05,83.0,0.07,6.3
FIFA Soccer 2005,,FIFA Soccer 2005 | GCN,290,0.03,,0.11,78.0,0.14,8.5
FIFA Street,,FIFA Street | GCN,444,0.01,,0.04,,0.06,
FIFA Street 2,,FIFA Street 2 | GCN,328,0.02,,0.09,63.0,0.11,5.7
FIFA World Cup Germany 2006,,FIFA World Cup Germany 2006 | GCN,304,0.03,,0.1,,0.13,
Fight Night Round 2,,Fight Night Round 2 | GCN,250,0.03,,0.13,87.0,0.17,7.9
Final Fantasy: Crystal Chronicles,0.36,Final Fantasy: Crystal Chronicles | GCN,27,0.38,0.04,0.72,,1.49,
Finding Nemo,,Finding Nemo | GCN,55,0.18,0.02,0.69,,0.89,
Fire Emblem: Path of Radiance,0.16,Fire Emblem: Path of Radiance | GCN,90,0.08,0.01,0.29,85.0,0.54,8.9
Fireblade,,Fireblade | GCN,510,0.01,,0.02,,0.03,
Flushed Away,,Flushed Away | GCN,263,0.03,,0.12,47.0,0.16,
Franklin: A Birthday Surprise,,Franklin: A Birthday Surprise | GCN,603,,,,,,
Freaky Flyers,,Freaky Flyers | GCN,548,,,0.01,,0.01,
Freedom Fighters,,Freedom Fighters | GCN,312,0.03,,0.1,83.0,0.13,7.8
Freekstyle,,Freekstyle | GCN,359,0.02,,0.07,,0.09,
Freestyle Metal X,,Freestyle Metal X | GCN,535,,,0.01,,0.02,
Freestyle Street Soccer,,Freestyle Street Soccer | GCN,604,,,,48.0,,8.0
Frogger Beyond,,Frogger Beyond | GCN,302,0.03,,0.1,,0.13,
Frogger: Ancient Shadow,,Frogger: Ancient Shadow | GCN,476,0.01,,0.04,54.0,0.05,7.7
Frogger's Adventures: The Rescue,,Frogger's Adventures: The Rescue | GCN,274,0.03,,0.12,61.0,0.15,
From Russia With Love,,From Russia With Love | GCN,210,0.04,0.01,0.17,70.0,0.22,8.5
From TV Animation One Piece: Grand Battle! 3,0.2,From TV Animation One Piece: Grand Battle! 3 | GCN,224,,0.01,,,0.2,
From TV Animation One Piece: Treasure Battle!,0.28,From TV Animation One Piece: Treasure Battle! | GCN,163,,0.01,,,0.29,
Future Tactics: The Uprising,,Future Tactics: The Uprising | GCN,521,,,0.02,63.0,0.02,
F-Zero GX,0.12,F-Zero GX | GCN,77,0.11,0.02,0.41,,0.65,
Gakuen Toshi Vara Noir Roses,,Gakuen Toshi Vara Noir Roses | GCN,605,,,,,,
Gauntlet: Dark Legacy,,Gauntlet: Dark Legacy | GCN,239,0.04,,0.14,,0.18,
Geist,,Geist | GCN,282,0.03,,0.11,66.0,0.15,8.0
Generation of Chaos Exceed,,Generation of Chaos Exceed | GCN,606,,,,,,
Gladius,,Gladius | GCN,406,0.01,,0.06,82.0,0.07,7.9
Go! Go! Hypergrind,,Go! Go! Hypergrind | GCN,508,0.01,,0.02,67.0,0.03,
Goblin Commander: Unleash the Horde,,Goblin Commander: Unleash the Horde | GCN,537,,,0.01,71.0,0.02,7.8
Godzilla: Destroy All Monsters Melee,,Godzilla: Destroy All Monsters Melee | GCN,65,0.14,0.02,0.55,,0.71,
GoldenEye: Rogue Agent,,GoldenEye: Rogue Agent | GCN,140,0.07,0.01,0.28,60.0,0.36,6.7
Gotcha Force,0.01,Gotcha Force | GCN,514,,,0.01,56.0,0.03,8.5
Grooverider: Slot Car Thunder,,Grooverider: Slot Car Thunder | GCN,551,,,0.01,,0.01,
Gun,,Gun | GCN,240,0.04,,0.14,77.0,0.18,8.6
Happy Feet,,Happy Feet | GCN,186,0.05,0.01,0.2,,0.25,8.6
Harry Potter and the Chamber of Secrets,,Harry Potter and the Chamber of Secrets | GCN,72,0.14,0.02,0.53,,0.69,
Harry Potter and the Goblet of Fire,,Harry Potter and the Goblet of Fire | GCN,118,0.08,0.01,0.32,69.0,0.42,5.6
Harry Potter and the Prisoner of Azkaban,,Harry Potter and the Prisoner of Azkaban | GCN,135,0.08,0.01,0.29,67.0,0.38,7.3
Harry Potter and the Sorcerer's Stone,,Harry Potter and the Sorcerer's Stone | GCN,385,0.02,,0.06,62.0,0.08,8.3
Harry Potter: Quidditch World Cup,,Harry Potter: Quidditch World Cup | GCN,122,0.08,0.01,0.31,68.0,0.4,8.4
Harvest Moon: A Wonderful Life,,Harvest Moon: A Wonderful Life | GCN,62,0.16,0.02,0.61,79.0,0.79,8.5
Harvest Moon: Another Wonderful Life,,Harvest Moon: Another Wonderful Life | GCN,197,0.05,0.01,0.19,70.0,0.24,8.5
Harvest Moon: Magical Melody,,Harvest Moon: Magical Melody | GCN,194,0.05,0.01,0.19,83.0,0.24,8.8
Hello Kitty: Roller Rescue,,Hello Kitty: Roller Rescue | GCN,375,0.02,,0.06,64.0,0.08,6.8
Hikaru no Go 3,,Hikaru no Go 3 | GCN,607,,,,,,
Hitman 2: Silent Assassin,,Hitman 2: Silent Assassin | GCN,305,0.03,,0.1,,0.13,
Home Run King,,Home Run King | GCN,331,0.02,,0.09,,0.11,
Hot Wheels Velocity X,,Hot Wheels Velocity X | GCN,333,0.02,,0.09,,0.11,
Hot Wheels World Race,,Hot Wheels World Race | GCN,260,0.03,,0.13,59.0,0.16,7.5
Hudson Selection Vol. 1: Cubic Lode Runner,,Hudson Selection Vol. 1: Cubic Lode Runner | GCN,608,,,,,,
Hudson Selection Vol. 2: Star Soldier,,Hudson Selection Vol. 2: Star Soldier | GCN,609,,,,,,
Hudson Selection Vol. 3: PC Genjin,,Hudson Selection Vol. 3: PC Genjin | GCN,610,,,,,,
Hudson Selection Vol. 4: Takahashi Meijin no Bouken Shima,,Hudson Selection Vol. 4: Takahashi Meijin no Bouken Shima | GCN,611,,,,,,
Hulk,,Hulk | GCN,235,0.04,0.01,0.15,,0.19,
Hunter: The Reckoning,,Hunter: The Reckoning | GCN,348,0.02,,0.08,,0.1,
Ice Age 2: The Meltdown,,Ice Age 2: The Meltdown | GCN,232,0.04,0.01,0.15,67.0,0.19,
Ikaruga,,Ikaruga | GCN,367,0.02,,0.07,,0.09,
I-Ninja,,I-Ninja | GCN,361,0.02,,0.07,77.0,0.09,7.5
Intellivision Lives!,,Intellivision Lives! | GCN,433,0.01,,0.05,61.0,0.06,
International Superstar Soccer 2,,International Superstar Soccer 2 | GCN,612,,,,,,
International Superstar Soccer 3,,International Superstar Soccer 3 | GCN,613,,,,,,
James Bond 007: Agent Under Fire,,James Bond 007: Agent Under Fire | GCN,64,0.15,0.02,0.56,,0.72,
James Bond 007: Everything or Nothing,,James Bond 007: Everything or Nothing | GCN,116,0.08,0.01,0.32,84.0,0.42,8.3
James Bond 007: Nightfire,,James Bond 007: Nightfire | GCN,63,0.16,0.02,0.6,,0.78,
Jeremy McGrath Supercross World,,Jeremy McGrath Supercross World | GCN,321,0.02,,0.09,,0.12,
Jikkyou Powerful Major League,0.04,Jikkyou Powerful Major League | GCN,494,,,,,0.04,
Jikkyou Powerful Pro Yakyuu 10,0.1,Jikkyou Powerful Pro Yakyuu 10 | GCN,345,,,,,0.1,
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban,,Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban | GCN,614,,,,,,
Jikkyou Powerful Pro Yakyuu 11,0.09,Jikkyou Powerful Pro Yakyuu 11 | GCN,355,,,,,0.1,
Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban,,Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban | GCN,615,,,,,,
Jikkyou Powerful Pro Yakyuu 12,0.08,Jikkyou Powerful Pro Yakyuu 12 | GCN,376,,,,,0.08,
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,0.02,Jikkyou Powerful Pro Yakyuu 12 Ketteiban | GCN,519,,,,,0.02,
Jikkyou Powerful Pro Yakyuu 9,0.11,Jikkyou Powerful Pro Yakyuu 9 | GCN,323,,,,,0.12,
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,,Jikkyou Powerful Pro Yakyuu 9 Ketteiban | GCN,616,,,,,,
Jikkyou World Soccer 2002,,Jikkyou World Soccer 2002 | GCN,617,,,,,,
Jimmy Neutron: Boy Genius,,Jimmy Neutron: Boy Genius | GCN,371,0.02,,0.07,,0.09,
Judge Dredd: Dredd Vs Death,,Judge Dredd: Dredd Vs Death | GCN,618,,,,,,
Kao the Kangaroo Round 2,,Kao the Kangaroo Round 2 | GCN,540,,,0.01,57.0,0.02,
Karaoke Revolution Party,,Karaoke Revolution Party | GCN,412,0.01,,0.05,80.0,0.07,
Kelly Slater's Pro Surfer,,Kelly Slater's Pro Surfer | GCN,441,0.01,,0.05,,0.06,
Killer7,,Killer7 | GCN,276,0.03,,0.12,74.0,0.15,8.6
King Arthur,,King Arthur | GCN,486,0.01,,0.03,60.0,0.04,
Kirby Air Ride,0.45,Kirby Air Ride | GCN,19,0.11,0.04,1.01,61.0,1.62,8.0
Knights of the Temple: Infernal Crusade,,Knights of the Temple: Infernal Crusade | GCN,619,,,,,,
Knockout Kings 2003,,Knockout Kings 2003 | GCN,269,0.03,,0.12,,0.15,
Konjiki no Gashbell!! Yuujou no Tag Battle Full Power,,Konjiki no Gashbell!! Yuujou no Tag Battle Full Power | GCN,620,,,,,,
Korokke! Ban-Ou no Kiki o Sukue,,Korokke! Ban-Ou no Kiki o Sukue | GCN,621,,,,,,
Kururin Squash!,,Kururin Squash! | GCN,622,,,,,,
Largo Winch: Empire Under Threat,,Largo Winch: Empire Under Threat | GCN,623,,,,,,
Legends of Wrestling,,Legends of Wrestling | GCN,308,0.03,,0.1,,0.13,
Legends of Wrestling II,,Legends of Wrestling II | GCN,322,0.02,,0.09,,0.12,
LEGO Star Wars II: The Original Trilogy,,LEGO Star Wars II: The Original Trilogy | GCN,50,0.19,0.03,0.75,,0.97,
LEGO Star Wars: The Video Game,,LEGO Star Wars: The Video Game | GCN,32,0.28,0.04,1.09,,1.41,
Lemony Snicket's A Series of Unfortunate Events,,Lemony Snicket's A Series of Unfortunate Events | GCN,182,0.05,0.01,0.2,,0.26,
Looney Tunes: Back in Action,,Looney Tunes: Back in Action | GCN,251,0.03,,0.13,64.0,0.17,7.5
Lost Kingdoms,0.04,Lost Kingdoms | GCN,255,0.02,,0.1,,0.17,
Lost Kingdoms II,,Lost Kingdoms II | GCN,445,0.01,,0.04,,0.06,
Lotus Challenge,,Lotus Challenge | GCN,544,,,0.01,,0.02,
